model,experiment,uncertainty,rouge,ifhr,wle,temperature,task,model_type
llama3,en_en_en,1.8818959613804598,0.343457711117863,0.0006747638326585695,0.09445031095149445,1.0,WTI - CQA,Base
llama3,en_en_th,4.536305865444795,0.09750551861406007,0.43148897885739995,0.5436179191123979,1.0,WTI - CQA,Base
llama3,en_th_en,3.4831384712501294,0.28499386304598306,0.35006915629322266,0.29173163673015734,1.0,WTI - CQA,Base
llama3,en_th_th,2.926877686825734,0.31355271808057156,0.12208390963577685,0.2648197033823761,1.0,WTI - CQA,Base
llama3,th_en_en,1.8723642315018065,0.3672923799998721,0.0001349527665317139,0.0955009252081989,1.0,WTI - CQA,Base
llama3,th_en_th,4.11238154721865,0.13826271865838669,0.28016194331983807,0.566324991392369,1.0,WTI - CQA,Base
llama3,th_th_en,2.795942131479875,0.3903195662626102,0.01604426002766252,0.12471269358896973,1.0,WTI - CQA,Base
llama3,th_th_th,2.834253448123213,0.3934884933816039,0.08650683878899647,0.24058832206511183,1.0,WTI - CQA,Base
qwen15,en_en_en,4.590903035339541,0.30809234202443997,0.025775978407557357,0.1402447634908705,1.0,WTI - CQA,Base
qwen15,en_en_th,5.256041229430364,0.027325278965330636,0.9437246963562752,0.34087960817069674,1.0,WTI - CQA,Base
qwen15,en_th_en,7.9377427125014846,0.12687938469873145,0.39271255060728744,0.6042472780953061,1.0,WTI - CQA,Base
qwen15,en_th_th,7.238207933060054,0.0646446194865722,0.7167341430499325,0.7107760403096375,1.0,WTI - CQA,Base
qwen15,th_en_en,7.0058316016968964,0.20041061664228071,0.24008097165991904,0.6279787433379674,1.0,WTI - CQA,Base
qwen15,th_en_th,7.131162825305938,0.02986522367060729,0.8699055330634279,0.7214395470621389,1.0,WTI - CQA,Base
qwen15,th_th_en,8.882395440172335,0.07808498532869096,0.5515519568151147,0.8680431345296159,1.0,WTI - CQA,Base
qwen15,th_th_th,7.902480542912551,0.06428317682093118,0.7213225371120108,0.8942836889050926,1.0,WTI - CQA,Base
qwen25,en_en_en,4.7220580602052635,0.25005753694504723,0.05128205128205128,0.06966697813039592,1.0,WTI - CQA,Base
